PassengerId,Survived,Pclass,Sex,Age,Fare
1,0,3,male,22.0,7.25
2,1,1,female,38.0,71.28
3,1,3,female,26.0,7.92
4,1,1,female,35.0,53.1
5,0,3,male,35.0,8.05
6,0,3,male,28.0,8.46
7,0,1,male,54.0,51.86
8,0,3,male,2.0,21.08
9,1,3,female,27.0,11.13
10,1,2,female,14.0,30.07
11,1,3,female,4.0,16.7
12,1,1,female,58.0,26.55
13,0,3,male,20.0,8.05
14,0,3,male,39.0,31.28
15,0,3,female,14.0,7.85
16,1,2,female,55.0,16.0
17,0,3,male,2.0,29.12
18,1,2,male,28.0,13.0
19,0,3,female,31.0,18.0
20,1,3,female,28.0,7.22
21,0,2,male,35.0,26.0
22,1,2,male,34.0,13.0
23,1,3,female,15.0,8.03
24,1,1,male,28.0,35.5
25,0,3,female,8.0,21.08
26,1,3,female,38.0,31.39
27,0,3,male,28.0,7.22
28,0,1,male,19.0,263.0
29,1,3,female,28.0,7.88
30,0,3,male,28.0,7.9
31,0,1,male,40.0,27.72
32,1,1,female,28.0,146.52
33,1,3,female,28.0,7.75
34,0,2,male,66.0,10.5
35,0,1,male,28.0,82.17
36,0,1,male,42.0,52.0
37,1,3,male,28.0,7.23
38,0,3,male,21.0,8.05
39,0,3,female,18.0,18.0
40,1,3,female,14.0,11.24
41,0,3,female,40.0,9.48
42,0,2,female,27.0,21.0
43,0,3,male,28.0,7.9
44,1,2,female,3.0,41.58
45,1,3,female,19.0,7.88
46,0,3,male,28.0,8.05
47,0,3,male,28.0,15.5
48,1,3,female,28.0,7.75
49,0,3,male,28.0,21.68
50,0,3,female,18.0,17.8
51,0,3,male,7.0,39.69
52,0,3,male,21.0,7.8
53,1,1,female,49.0,76.73
54,1,2,female,29.0,26.0
55,0,1,male,65.0,61.98
56,1,1,male,28.0,35.5
57,1,2,female,21.0,10.5
58,0,3,male,28.5,7.23
59,1,2,female,5.0,27.75
60,0,3,male,11.0,46.9
61,0,3,male,22.0,7.23
62,1,1,female,38.0,80.0
63,0,1,male,45.0,83.48
64,0,3,male,4.0,27.9
65,0,1,male,28.0,27.72
66,1,3,male,28.0,15.25
67,1,2,female,29.0,10.5
68,0,3,male,19.0,8.16
69,1,3,female,17.0,7.92
70,0,3,male,26.0,8.66
71,0,2,male,32.0,10.5
72,0,3,female,16.0,46.9
73,0,2,male,21.0,73.5
74,0,3,male,26.0,14.45
75,1,3,male,32.0,56.5
76,0,3,male,25.0,7.65
77,0,3,male,28.0,7.9
78,0,3,male,28.0,8.05
79,1,2,male,0.83,29.0
80,1,3,female,30.0,12.48
81,0,3,male,22.0,9.0
82,1,3,male,29.0,9.5
83,1,3,female,28.0,7.79
84,0,1,male,28.0,47.1
85,1,2,female,17.0,10.5
86,1,3,female,33.0,15.85
87,0,3,male,16.0,34.38
88,0,3,male,28.0,8.05
89,1,1,female,23.0,263.0
90,0,3,male,24.0,8.05
91,0,3,male,29.0,8.05
92,0,3,male,20.0,7.85
93,0,1,male,46.0,61.18
94,0,3,male,26.0,20.58
95,0,3,male,59.0,7.25
96,0,3,male,28.0,8.05
97,0,1,male,71.0,34.65
98,1,1,male,23.0,63.36
99,1,2,female,34.0,23.0
100,0,2,male,34.0,26.0
101,0,3,female,28.0,7.9
102,0,3,male,28.0,7.9
103,0,1,male,21.0,77.29
104,0,3,male,33.0,8.65
105,0,3,male,37.0,7.92
106,0,3,male,28.0,7.9
107,1,3,female,21.0,7.65
108,1,3,male,28.0,7.78
109,0,3,male,38.0,7.9
110,1,3,female,28.0,24.15
111,0,1,male,47.0,52.0
112,0,3,female,14.5,14.45
113,0,3,male,22.0,8.05
114,0,3,female,20.0,9.82
115,0,3,female,17.0,14.46
116,0,3,male,21.0,7.92
117,0,3,male,70.5,7.75
118,0,2,male,29.0,21.0
119,0,1,male,24.0,247.52
120,0,3,female,2.0,31.28
121,0,2,male,21.0,73.5
122,0,3,male,28.0,8.05
123,0,2,male,32.5,30.07
124,1,2,female,32.5,13.0
125,0,1,male,54.0,77.29
126,1,3,male,12.0,11.24
127,0,3,male,28.0,7.75
128,1,3,male,24.0,7.14
129,1,3,female,28.0,22.36
130,0,3,male,45.0,6.98
131,0,3,male,33.0,7.9
132,0,3,male,20.0,7.05
133,0,3,female,47.0,14.5
134,1,2,female,29.0,26.0
135,0,2,male,25.0,13.0
136,0,2,male,23.0,15.05
137,1,1,female,19.0,26.28
138,0,1,male,37.0,53.1
139,0,3,male,16.0,9.22
140,0,1,male,24.0,79.2
141,0,3,female,28.0,15.25
142,1,3,female,22.0,7.75
143,1,3,female,24.0,15.85
144,0,3,male,19.0,6.75
145,0,2,male,18.0,11.5
146,0,2,male,19.0,36.75
147,1,3,male,27.0,7.8
148,0,3,female,9.0,34.38
149,0,2,male,36.5,26.0
150,0,2,male,42.0,13.0
151,0,2,male,51.0,12.52
152,1,1,female,22.0,66.6
153,0,3,male,55.5,8.05
154,0,3,male,40.5,14.5
155,0,3,male,28.0,7.31
156,0,1,male,51.0,61.38
157,1,3,female,16.0,7.73
158,0,3,male,30.0,8.05
159,0,3,male,28.0,8.66
160,0,3,male,28.0,69.55
161,0,3,male,44.0,16.1
162,1,2,female,40.0,15.75
163,0,3,male,26.0,7.78
164,0,3,male,17.0,8.66
165,0,3,male,1.0,39.69
166,1,3,male,9.0,20.52
167,1,1,female,28.0,55.0
168,0,3,female,45.0,27.9
169,0,1,male,28.0,25.92
170,0,3,male,28.0,56.5
171,0,1,male,61.0,33.5
172,0,3,male,4.0,29.12
173,1,3,female,1.0,11.13
174,0,3,male,21.0,7.92
175,0,1,male,56.0,30.7
176,0,3,male,18.0,7.85
177,0,3,male,28.0,25.47
178,0,1,female,50.0,28.71
179,0,2,male,30.0,13.0
180,0,3,male,36.0,0.0
181,0,3,female,28.0,69.55
182,0,2,male,28.0,15.05
183,0,3,male,9.0,31.39
184,1,2,male,1.0,39.0
185,1,3,female,4.0,22.02
186,0,1,male,28.0,50.0
187,1,3,female,28.0,15.5
188,1,1,male,45.0,26.55
189,0,3,male,40.0,15.5
190,0,3,male,36.0,7.9
191,1,2,female,32.0,13.0
192,0,2,male,19.0,13.0
193,1,3,female,19.0,7.85
194,1,2,male,3.0,26.0
